29-January-3303,9:38,1,6000,6000
,False29-January-3303,9:39,2,16850,22850
,False29-January-3303,9:41,3,46714,69564
,False29-January-3303,9:42,4,27607,97171
,False29-January-3303,9:44,5,15875,113046
,False29-January-3303,9:46,6,56412,169458
,False29-January-3303,9:47,7,28790,198248
,False29-January-3303,9:48,8,22490,220738
,False29-January-3303,9:48,9,31477,252215
,False29-January-3303,9:50,10,49640,301855
,False29-January-3303,9:51,11,8730,310585
,False29-January-3303,10:33,1,10192,10192
,False29-January-3303,10:34,2,2595,12787
,False29-January-3303,10:37,3,12350,25137
,False29-January-3303,10:43,4,13200,38337
,False29-January-3303,10:48,5,16355,54692
,False29-January-3303,10:48,6,5595,60287
,False29-January-3303,10:52,7,30890,91177
,False29-January-3303,10:53,8,5912,97089
,False29-January-3303,10:56,9,29160,126249
,False29-January-3303,12:00,10,18855,145104
,False29-January-3303,12:01,11,109890,254994
,False29-January-3303,12:02,12,7370,262364
,False29-January-3303,12:04,13,27210,289574
,False29-January-3303,12:05,14,43410,332984
,False29-January-3303,12:07,15,27230,360214
,False29-January-3303,12:08,16,70362,430576
,False29-January-3303,12:11,17,59370,489946
,False29-January-3303,12:16,18,57320,547266
,False29-January-3303,12:22,19,35090,582356
,False29-January-3303,12:23,20,18267,600623
,False30-January-3303,8:04,21,7185,607808
,False30-January-3303,8:05,22,24300,632108
,False30-January-3303,8:06,23,26900,659008
,False30-January-3303,8:08,24,24475,683483
,False30-January-3303,8:11,25,30290,713773
,False30-January-3303,8:14,26,5120,718893
,False30-January-3303,8:16,27,18290,737183
,False30-January-3303,8:17,28,3642,740825
,False30-January-3303,8:17,29,6410,747235
,False30-January-3303,8:17,30,1932,749167
,False30-January-3303,8:18,31,27260,776427
,False30-January-3303,8:19,32,17310,793737
,False30-January-3303,8:22,33,20000,813737
,False30-January-3303,8:24,34,7280,821017
,False30-January-3303,8:26,35,29022,850039
,False30-January-3303,8:27,36,22100,872139
,False30-January-3303,8:28,37,19090,891229
,False30-January-3303,8:29,38,26330,917559
,False30-January-3303,17:04,39,91550,1009109
,False30-January-3303,17:04,40,21712,1030821
,False30-January-3303,17:05,41,14645,1045466
,False30-January-3303,17:05,42,11315,1056781
,False30-January-3303,17:06,43,6795,1063576
,False30-January-3303,17:06,44,7850,1071426
,False30-January-3303,17:08,45,24110,1095536
,False30-January-3303,17:10,46,13905,1109441
,False